featureKey,label,description,defaultRoles,assignableBy,requiresAuditLog,enabled,scope,riskLevel,notes
acknowledge_revision_mismatch,Acknowledge Revision Mismatch,Allows a user to continue with a non-ideal UCP and LAY revision pair,TEAM_LEAD|ADMIN,TEAM_LEAD|ADMIN,true,true,unit,high,Used when mismatch is warning-level and acknowledgement is allowed
override_revision_mismatch_role_requirement,Override Revision Mismatch Role Requirement,Allows delegated non-Team-Lead override of revision mismatch continuation,ADMIN,TEAM_LEAD|ADMIN,true,true,unit,critical,Must always be audited
upload_revision_replacement_file,Upload Revision Replacement File,Allows upload of a replacement file when a revision pair is incomplete or mismatched,TEAM_LEAD|ADMIN,TEAM_LEAD|ADMIN,true,true,project,high,Used during intake and revision correction
create_project_from_fallback_revision_pair,Create Project From Fallback Revision Pair,Allows project creation from a fallback revision pair when engineering files do not match exactly,TEAM_LEAD|ADMIN,TEAM_LEAD|ADMIN,true,true,project,high,Should be audited with rationale
create_unit_from_fallback_revision_pair,Create Unit From Fallback Revision Pair,Allows unit creation from a fallback revision pair,TEAM_LEAD|ADMIN,TEAM_LEAD|ADMIN,true,true,unit,high,Used for revision mismatch exceptions
change_unit_revision_after_start,Change Unit Revision After Start,Allows a started unit to move to a new revision set for rework or green changes,TEAM_LEAD|ADMIN,TEAM_LEAD|ADMIN,true,true,unit,critical,Creates revision delta workflow records
create_green_change_assignments,Create Green Change Assignments,Allows revision delta assignment creation after a revision update,TEAM_LEAD|ADMIN,TEAM_LEAD|ADMIN,true,true,assignment,critical,Should record all generated deltas
view_wire_validation_blockers,View Wire Validation Blockers,Allows viewing blocker-level validation findings,MEMBER|TEAM_LEAD|ADMIN,TEAM_LEAD|ADMIN,false,true,assignment,low,View-only access
acknowledge_wire_validation_warnings,Acknowledge Wire Validation Warnings,Allows acknowledgement of warning-level validation findings,MEMBER|TEAM_LEAD|ADMIN,TEAM_LEAD|ADMIN,true,true,assignment,medium,Acknowledgements should remain auditable
dismiss_wire_validation_modal,Dismiss Wire Validation Modal,Allows dismissal of the validation modal after review,MEMBER|TEAM_LEAD|ADMIN,TEAM_LEAD|ADMIN,true,true,assignment,medium,Can be granted broadly
